Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,Finishers,winner_time,"Original name
Surname, first name",hours
27,9:53:00 h,"Heaton, Alan",Clayton,GBR,,M,24,#NA,21,6.025,9:53:00 h,1462093,Old County Tops Fell Race (GBR),21.05.1988,37mi  trail race,"42 (38 M, 4 F)",7:41:00 h,,
7,6:14:43 h,"Beard, Eric",,GBR,1931,M,7,M23,3,12.884,6:13:38 h,1048701,4th Balfe Cup 50 Mile Track Race (GBR),15.10.1966,50mi  track,"7 (7 M, 0 F)",5:12:40 h,,
17,4:59:01 h,"Beard, Eric",Leeds A.C.,GBR,1931,M,17,M23,6,11.948,4:58:09 h,1048701,4th 40 mile road race - Woodford to Southend (GBR),10.09.1966,37mi  road race,"23 (23 M, 0 F)",3:52:43 h,,
12,6:23:03 h,"Beard, Eric",Leeds A.C,GBR,1931,M,12,M23,7,13.236,6:22:36 h,1048701,15th London to Brighton Road Race (GBR),25.09.1965,84.5km  road race,"36 (36 M, 0 F)",5:40:11 h,,
198,9:16:17 h,"Talbot, Donald",Clayton,GBR,1932,M,165,M70,2,5.555,6:45:19 h,482320,Haworth Hobble 32 Miles (GBR),14.03.2004,32mi  trail race,"212 (177 M, 35 F)",3:56:06 h,,
200,8:48:57 h,"Talbot, Donald",,GBR,1932,M,169,M70,2,5.842,6:29:38 h,482320,Haworth Hobble 32 Miles (GBR),15.03.2003,32mi  trail race,"232 (195 M, 37 F)",4:05:45 h,,
3,239.100 km,,,GBR,1938,M,3,M50,1,9.963,275.176 km,113489,4th Self-Transcendence 24 Hour Track Race Copthall (GBR),26.-27.10.1991,24h  track,"29 (24 M, 5 F)",268.251 km,"Weir, Dennis",
9,4:58:55 h,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,9,M50,1,12.921,4:22:04 h,113489,8th Bolton 40 miles road race (GBR),09.09.1990,40mi  road race,"36 (34 M, 2 F)",4:17:23 h,,
1,142.923 km,"Weir, Dennis",Horwich R.M.I.,GBR,1938,M,1,M50,1,11.910,163.024 km,113489,Interprint 12 hours track race (GBR),01.04.1990,12h  track,"32 (32 M, 0 F)",142.923 km,,
4,4:33:46 h,"Weir, Dennis",Horwich RMI,GBR,1938,M,4,M50,1,14.108,4:02:09 h,113489,4th Barry 40 Mile Track Race (GBR),04.03.1990,40mi  track,"22 (22 M, 0 F)",3:55:21 h,,
